x_pixels,x_angle_deg,x_mm,profile,profile_norm,smoothed,smoothed_norm,gradient
124,-2.5324659571828696,-19.902903764316086,39505.605,0.94631547,39552.030087184554,0.9474274743936455,5.442937234663987
125,-2.530307959635084,-19.88592176451718,39580.305,0.9481048,39557.4698422196,0.9475577780307234,5.436572835424158
126,-2.528149954903669,-19.868939764718277,39878.867,0.9552565,39562.9032328554,0.9476879292152802,5.430208436180692
127,-2.525991942994711,-19.851957764919373,39837.996,0.9542775,39568.33025909196,0.9478179279473159,5.423844036944502
128,-2.5238339239142986,-19.83497576512047,39308.305,0.9415893,39573.75092092929,0.9479477742268307,5.417479637704673
129,-2.521675897668517,-19.817993765321564,39321.34,0.94190156,39579.16521836737,0.9480774680538245,5.411115238464845
130,-2.519517864263454,-19.80101176552266,39725.297,0.9515779,39584.57315140622,0.9482070094282974,5.4047508392250165
131,-2.5173598237051973,-19.784029765723755,39552.41,0.94743663,39589.97472004582,0.9483363983502491,5.398386439985188
132,-2.515201775999835,-19.76704776592485,39753.418,0.95225155,39595.36992428619,0.9484656348196799,5.39202204074536
133,-2.513043721153452,-19.750065766125946,39581.246,0.9481273,39600.75876412731,0.9485947188365895,5.3856576415055315
134,-2.510885659172139,-19.73308376632704,39307.496,0.9415699,39606.1412395692,0.9487236504009784,5.379293242269341
135,-2.5087275900619828,-19.716101766528137,39647.95,0.94972515,39611.51735061185,0.9488524295128462,5.372928843025875
136,-2.5065695138290716,-19.699119766729233,39507.062,0.94635034,39616.887097255254,0.9489810561721929,5.3665644437860465
137,-2.5044114304794918,-19.682137766930328,39426.01,0.94440883,39622.250479499424,0.9491095303790187,5.360200044549856
138,-2.5022533400193336,-19.665155767131424,39474.38,0.9455674,39627.607497344354,0.9492378521333235,5.353835645310028
139,-2.5000952424546847,-19.64817376733252,39192.652,0.938819,39632.958150790044,0.9493660214351073,5.347471246070199
140,-2.497937137791633,-19.631191767533615,39319.996,0.9418694,39638.302439836494,0.9494940382843701,5.341106846830371
141,-2.495779026036267,-19.61420976773471,39180.73,0.9385334,39643.640364483705,0.9496219026811118,5.334742447586905
142,-2.4936209071946767,-19.597227767935806,39424.77,0.9443791,39648.97192473167,0.9497496146253324,5.328378048347076
143,-2.4914627812729493,-19.5802457681369,39440.37,0.9447528,39654.2971205804,0.9498771741170322,5.322013649110886
144,-2.4893046482771752,-19.563263768337997,39317.727,0.941815,39659.61595202989,0.9500045811562109,5.315649249871058
145,-2.487146508213441,-19.546281768539092,39475.29,0.94558924,39664.92841908014,0.9501318357428686,5.309284850631229
146,-2.484988361087839,-19.529299768740188,39684.08,0.95059055,39670.23452173115,0.9502589378770053,5.302920451395039
147,-2.4828302069064563,-19.512317768941283,39488.004,0.9458938,39675.53425998293,0.9503858875586213,5.296556052155211
148,-2.4806720456753824,-19.49533576914238,39620.31,0.94906306,39680.82763383546,0.950512684787716,5.290191652911744
149,-2.478513877400708,-19.478353769343475,39467.09,0.94539285,39686.114643288754,0.9506393295642896,5.283827253671916
150,-2.476355702088522,-19.46137176954457,39612.285,0.94887084,39691.39528834281,0.9507658218883424,5.277462854432088
151,-2.4741975197449144,-19.444389769745666,39733.47,0.9517737,39696.66956899762,0.950892161759874,5.271098455192259
152,-2.472039330375974,-19.42740776994676,39829.77,0.95408046,39701.93748525319,0.9510183491788847,5.264734055956069
153,-2.469881133987792,-19.410425770147857,39783.957,0.9529831,39707.19903710953,0.9511443841453745,5.258369656716241
154,-2.4677229305864583,-19.393443770348952,39653.246,0.94985205,39712.45422456662,0.9512702666593432,5.252005257472774
155,-2.4655647201780626,-19.376461770550048,39877.332,0.95521975,39717.703047624476,0.9513959967207908,5.245640858236584
156,-2.4634065027686955,-19.359479770751143,39980.58,0.9576929,39722.9455062831,0.9515215743297176,5.2392764589967555
157,-2.461248278364448,-19.34249777095224,40076.51,0.9599909,39728.18160054247,0.9516469994861232,5.232912059756927
158,-2.4590900469714096,-19.325515771153334,39664.75,0.9501276,39733.41133040261,0.951772272190008,5.226547660517099
159,-2.456931808595672,-19.30853377135443,39679.707,0.9504859,39738.634695863504,0.9518973924413716,5.2201832612772705
160,-2.454773563243325,-19.291551771555525,39859.094,0.9547829,39743.851696925165,0.9520223602402144,5.213818862037442
161,-2.4526153109204616,-19.27456977175662,39689.496,0.95072037,39749.06233358758,0.9521471755865359,5.207454462797614
162,-2.4504570516331703,-19.257587771957716,39705.703,0.9511086,39754.26660585076,0.9522718384803367,5.2010900635577855
163,-2.4482987853875438,-19.240605772158812,39701.38,0.951005,39759.464513714694,0.9523963489216163,5.194725664317957
164,-2.446140512189672,-19.223623772359907,39948.562,0.95692605,39764.656057179396,0.952520706910375,5.188361265081767
165,-2.4439822320456486,-19.206641772561003,39955.324,0.957088,39769.84123624486,0.9526449124466128,5.1819968658383
166,-2.4418239449615635,-19.1896597727621,39895.473,0.9556543,39775.02005091107,0.9527689655303293,5.175632466598472
167,-2.439665650943508,-19.17267777296319,39961.56,0.9572373,39780.192501178055,0.952892866161525,5.169268067362282
168,-2.437507349997575,-19.155695773164286,40161.496,0.9620266,39785.3585870458,0.9530166143401997,5.162903668122453
169,-2.435349042129856,-19.13871377336538,39878.652,0.9552514,39790.5183085143,0.9531402100663534,5.156539268878987
170,-2.4331907273464424,-19.121731773566477,39738.758,0.95190036,39795.671665583555,0.9532636533399859,5.150174869639159
171,-2.431032405653427,-19.104749773767573,39795.297,0.9532547,39800.81865825358,0.9533869441610976,5.143810470402968
172,-2.4288740770569017,-19.087767773968668,39961.168,0.95722795,39805.95928652436,0.9535100825296882,5.13744607116314
173,-2.4267157415629597,-19.070785774169764,39763.656,0.95249677,39811.093550395904,0.9536330684457579,5.131081671923312
174,-2.424557399177692,-19.05380377437086,39762.42,0.9524672,39816.22144986821,0.9537559019093065,5.124717272683483
175,-2.422399049907192,-19.036821774571955,39909.78,0.95599705,39821.34298494127,0.9538785829203341,5.118352873443655
176,-2.4202406937575525,-19.01983977477305,39784.54,0.952997,39826.458155615095,0.9540011114788408,5.111988474203827
177,-2.4180823307348662,-19.002857774974146,39669.62,0.95024425,39831.56696188968,0.9541234875848263,5.105624074963998
178,-2.415923960845226,-18.98587577517524,39543.21,0.9472163,39836.66940376502,0.9542457112382909,5.09925967572417
179,-2.4137655840947247,-18.968893775376337,39807.94,0.9535576,39841.76548124113,0.9543677824392346,5.09289527648798
180,-2.4116072004894558,-18.951911775577432,40115.863,0.9609335,39846.855194318,0.9544897011876573,5.086530877248151
181,-2.4094488100355127,-18.934929775778528,39822.59,0.9539085,39851.938542995624,0.954611467483559,5.080166478004685
182,-2.4072904127389885,-18.917947775979624,39537.336,0.94707555,39857.01552727401,0.9547330813269395,5.073802078764857
183,-2.4051320086059764,-18.90096577618072,39848.688,0.95453364,39862.08614715315,0.954854542717799,5.067437679528666
184,-2.402973597642571,-18.883983776381815,39730.293,0.9516976,39867.150402633066,0.9549758516561377,5.061073280288838
185,-2.4008151798548654,-18.86700177658291,39672.48,0.95031273,39872.20829371373,0.9550970081419553,5.0547088810453715
186,-2.398656755248953,-18.850019776784006,39828.152,0.9540417,39877.25982039516,0.9552180121752518,5.048344481809181
187,-2.3964983238309285,-18.8330377769851,39796.14,0.9532749,39882.30498267735,0.9553388637560275,5.041980082569353
188,-2.3943398856068865,-18.816055777186197,39658.43,0.9499762,39887.343780560295,0.955459562884282,5.0356156833295245
189,-2.39218144058292,-18.799073777387292,39875.918,0.9551859,39892.37621404401,0.9555801095600157,5.029251284089696
190,-2.3900229887651236,-18.782091777588388,39938.33,0.9566809,39897.402283128475,0.9557005037832282,5.022886884849868
191,-2.3878645301595927,-18.765109777789483,40168.598,0.9621967,39902.42198781371,0.9558207455539198,5.016522485610039
192,-2.3857060647724206,-18.74812777799058,39893.996,0.9556189,39907.435328099695,0.9559408348720904,5.010158086370211
193,-2.3835475926097027,-18.731145778191674,40074.895,0.9599522,39912.44230398645,0.95606077173774,5.003793687134021
194,-2.381389113677534,-18.71416377839277,40290.91,0.9651266,39917.44291547396,0.9561805561508686,4.997429287890554
195,-2.379230627982009,-18.697181778593865,39792.66,0.9531915,39922.43716256223,0.9563001881114761,4.991064888650726
196,-2.3770721355292226,-18.68019977879496,39876.902,0.9552095,39927.425045251264,0.9564196676195627,4.984700489414536
197,-2.3749136363252696,-18.663217778996056,39922.71,0.95630676,39932.40656354106,0.9565389946751283,4.978336090171069
198,-2.3727551303762464,-18.646235779197152,39933.95,0.956576,39937.38171743161,0.9566581692781727,4.971971690931241
199,-2.370596617688248,-18.629253779398248,40139.926,0.96150994,39942.35050692292,0.9567771914286962,4.965607291695051
200,-2.368438098267369,-18.612271779599343,40037.695,0.9590611,39947.312932015,0.9568960611266989,4.959242892455222
201,-2.3662795721197054,-18.59528977980044,39694.586,0.95084226,39952.26899270783,0.9570147783721804,4.952878493215394
202,-2.364121039251353,-18.578307780001534,39859.33,0.9547885,39957.21868900143,0.957133343165141,4.946514093975566
203,-2.361962499668409,-18.56132578020263,40089.2,0.96029484,39962.16202089578,0.9572517555055805,4.940149694735737
204,-2.359803953376966,-18.544343780403725,40205.65,0.9630842,39967.0989883909,0.9573700153934991,4.933785295495909
205,-2.3576454003831238,-18.52736178060482,39926.598,0.95639986,39972.029591486775,0.9574881228288966,4.927420896256081
206,-2.3554868406929765,-18.510379780805916,40198.203,0.9629059,39976.95383018341,0.9576060778117731,4.921056497016252
207,-2.353328274312621,-18.493397781007012,40165.65,0.9621261,39981.87170448081,0.9577238803421286,4.914692097776424
208,-2.3511697012481525,-18.476415781208107,40253.773,0.96423703,39986.783214378964,0.9578415304199631,4.908327698536596
209,-2.349011121505669,-18.459433781409203,40196.844,0.96287334,39991.68835987788,0.9579590280452767,4.901963299296767
210,-2.3468525350912666,-18.4424517816103,39977.95,0.9576299,39996.58714097756,0.958076373218069,4.895598900060577
211,-2.344693942011042,-18.425469781811394,39882.688,0.9553481,40001.479557678,0.9581935659383407,4.8892345008207485
212,-2.3425353422710917,-18.40848778201249,39948.254,0.9569186,40006.3656099792,0.9583106062060912,4.882870101577282
213,-2.3403767358775136,-18.391505782213585,40052.57,0.9594174,40011.245297881156,0.9584274940213207,4.876505702337454
214,-2.3382181228364036,-18.37452378241468,40217.645,0.9633716,40016.118621383874,0.9585442293840291,4.8701413031012635
215,-2.33605950315386,-18.357541782615776,40314.203,0.96568453,40020.98558048736,0.9586608122942167,4.863776903861435
216,-2.333900876835979,-18.34055978281687,40197.05,0.9628783,40025.8461751916,0.9587772427518831,4.857412504621607
217,-2.3317422438888586,-18.323577783017967,40149.04,0.9617282,40030.7004054966,0.9588935207570287,4.851048105381778
218,-2.329583604318597,-18.306595783219063,40391.31,0.96753156,40035.54827140236,0.9590096463096531,4.844683706138312
219,-2.32742495813129,-18.289613783420158,40535.64,0.97098887,40040.38977290888,0.9591256194097566,4.838319306902122
220,-2.325266305333037,-18.272631783621254,40184.52,0.9625781,40045.224910016164,0.9592414400573391,4.831954907662293
221,-2.3231076459299356,-18.25564978382235,40057.098,0.9595259,40050.0536827242,0.9593571082524005,4.825590508422465
222,-2.3209489799280836,-18.238667784023445,40210.96,0.9632115,40054.87609103301,0.959472623994941,4.819226109186275
